id,meanfreq,sd,median,mode,Q25,Q75,IQR,skew,kurt,Label
240,2.800371723,3.044633223,1.217574066,0,0.407533045,5.119037147,4.711504102,10.20707806,0.140510265,Female
241,1.117083415,1.680931985,0.464419665,0,0.267600101,1.151735935,0.884135834,6.408531713,0.056165426,Male
242,1.957313813,2.616212654,0.74721917,0.560414377,0.393931445,2.240094289,1.846162844,6.326172209,0.054745219,Female
243,2.747196686,3.26896184,0.898827148,0.130264804,0.337155963,4.948530025,4.611374062,5.32363087,0.038462278,Male
244,1.414595193,1.698633128,0.813929743,0.227538818,0.413078648,1.688997251,1.275918604,5.763995474,0.047880402,Female
245,2.579533517,2.700396024,0.803419465,0.453833143,0.35318104,4.624604663,4.271423622,7.734826756,0.076330632,Female
246,1.838148238,2.492034798,0.533791757,0.130737527,0.261475054,2.280572668,2.019097614,7.259014967,0.069835066,Male
247,3.786374466,3.434672746,2.57220275,0.281396603,0.607380696,6.753518469,6.146137773,8.009112426,0.094586799,Female
248,0.966913098,1.55868748,0.415638226,0.122338799,0.247814489,0.888524736,0.640710246,6.720102885,0.058354101,Male
249,1.986267476,2.280540623,1.048651733,0,0.440433728,2.84918676,2.408753032,8.721458841,0.105261349,Female
250,1.715263187,2.450753612,0.569842313,0.210413929,0.217312746,1.991688568,1.774375821,5.935196786,0.047853778,Female
251,2.224355894,3.116501202,0.554221556,0.276407451,0.248977704,3.003908966,2.754931262,12.71207983,0.263737657,Female
252,0.830126186,1.432886418,0.42427053,0.142905493,0.252148803,0.670067978,0.417919175,8.145112206,0.085435994,Male
253,1.275338047,1.802485263,0.468617716,0.435327933,0.256075255,1.540932846,1.284857591,10.84566061,0.183257756,Female
254,0.908795649,1.434084492,0.554042403,0.220433426,0.270733671,0.877295448,0.606561777,6.152685654,0.058804217,Male
255,2.032653801,2.553875832,0.618268992,0.191287644,0.211099579,3.075632049,2.86453247,13.7919922,0.26455494,Female
256,1.847046488,2.642530429,0.545502448,0.088994357,0.230726111,1.961171942,1.730445831,8.503920133,0.099637389,Male
257,1.422446705,1.724656734,0.634069598,0.487957908,0.354711398,1.940804334,1.586092936,6.128870493,0.050610964,Male
258,1.40379187,1.912766586,0.559734666,0.241243108,0.2494745,1.764050655,1.514576154,6.239736808,0.053424618,Male
259,1.156757091,1.681212995,0.579513564,0.221983162,0.280916745,1.072591207,0.791674462,8.952270059,0.127021113,Male
260,1.194527874,1.870575866,0.425614517,0.315423057,0.230713371,1.120509417,0.889796046,7.841750774,0.085086776,Male
261,2.017981658,2.619500752,0.534014097,0.10281764,0.214402675,3.170609073,2.956206398,8.640443088,0.103632917,Female
262,1.324198357,1.886815637,0.565505199,0.050554519,0.236312983,1.649488136,1.413175153,9.439560495,0.131267466,Female
263,2.356385052,2.525137445,1.029634079,0.585353038,0.510029528,3.999806039,3.48977651,5.549930228,0.046875791,Female
264,0.981400362,1.50025945,0.497065034,0.326794764,0.286444257,1.057538007,0.77109375,5.666446941,0.042602136,Male
265,3.520471081,3.753705028,0.872895605,0.202580611,0.245599659,7.757507715,7.511908056,8.589772962,0.110996132,Female
266,0.955980872,1.367372382,0.471516802,0.116170806,0.237222739,1.07970514,0.842482401,7.266464447,0.076275806,Male
267,1.864142623,2.429441661,0.753712437,0.244795492,0.446337646,1.957443656,1.51110601,5.942952057,0.047563313,Female
268,0.931171557,1.727865517,0.40465159,0.085360416,0.171801343,0.684504092,0.512702749,9.694249659,0.153406403,Male
269,1.61296595,2.236949864,0.718217251,0.182597606,0.306277051,1.653603922,1.34732687,7.799819884,0.096060583,Female
